director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,movie_imdb_link
Gore Verbinski,Johnny Depp,Ruth Wilson,Tom Wilkinson,Action Adventure Western,the lone ranger,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1
Zack Snyder,Henry Cavill,Christopher Meloni,Harry Lennix,Action Adventure Fantasy Sci-Fi,man of steel,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1
Andrew Adamson,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Action Adventure Family Fantasy,the chronicles of narnia: prince caspian,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1
Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Action Adventure Sci-Fi,the avengers,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1
Rob Marshall,Johnny Depp,Sam Claflin,Stephen Graham,Action Adventure Fantasy,pirates of the caribbean: on stranger tides,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1
Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Action Adventure Comedy Family Fantasy Sci-Fi,men in black 3,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,the hobbit: the battle of the five armies,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1
Marc Webb,Emma Stone,Andrew Garfield,Chris Zylka,Action Adventure Fantasy,the amazing spider-man,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1
Ridley Scott,Mark Addy,William Hurt,Scott Grimes,Action Adventure Drama History,robin hood,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,the hobbit: the desolation of smaug,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1
Chris Weitz,Christopher Lee,Eva Green,Kristin Scott Thomas,Adventure Family Fantasy,the golden compass,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1
Peter Jackson,Naomi Watts,Thomas Kretschmann,Evan Parke,Action Adventure Drama Romance,king kong,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1
James Cameron,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,Drama Romance,titanic,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1
Anthony Russo,Robert Downey Jr.,Scarlett Johansson,Chris Evans,Action Adventure Sci-Fi,captain america: civil war,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1
Peter Berg,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Action Adventure Sci-Fi Thriller,battleship,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1
Colin Trevorrow,Bryce Dallas Howard,Judy Greer,Omar Sy,Action Adventure Sci-Fi Thriller,jurassic world,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1
Sam Mendes,Albert Finney,Helen McCrory,Rory Kinnear,Action Adventure Thriller,skyfall,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1
Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Action Adventure Fantasy Romance,spider-man 2,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1
Shane Black,Robert Downey Jr.,Jon Favreau,Don Cheadle,Action Adventure Sci-Fi,iron man 3,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1
Tim Burton,Johnny Depp,Alan Rickman,Anne Hathaway,Adventure Family Fantasy,alice in wonderland,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1
Brett Ratner,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Action Adventure Fantasy Sci-Fi Thriller,x-men: the last stand,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1
Dan Scanlon,Steve Buscemi,Tyler Labine,Sean Hayes,Adventure Animation Comedy Family Fantasy,monsters university,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1
Michael Bay,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,Action Adventure Sci-Fi,transformers: revenge of the fallen,http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1
Michael Bay,Bingbing Li,Sophia Myles,Kelsey Grammer,Action Adventure Sci-Fi,transformers: age of extinction,http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1
Sam Raimi,Tim Holmes,Mila Kunis,James Franco,Adventure Family Fantasy,oz the great and powerful,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1
Marc Webb,Emma Stone,Andrew Garfield,B.J. Novak,Action Adventure Fantasy Sci-Fi,the amazing spider-man 2,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1
Joseph Kosinski,Jeff Bridges,Olivia Wilde,James Frain,Action Adventure Sci-Fi,tron: legacy,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1
John Lasseter,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,Adventure Animation Comedy Family Sport,cars 2,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1
Martin Campbell,Ryan Reynolds,Temuera Morrison,Taika Waititi,Action Adventure Sci-Fi,green lantern,http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1
Lee Unkrich,Tom Hanks,John Ratzenberger,Don Rickles,Adventure Animation Comedy Family Fantasy,toy story 3,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1
McG,Christian Bale,Bryce Dallas Howard,Common,Action Adventure Sci-Fi,terminator salvation,http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1
James Wan,Jason Statham,Paul Walker,Vin Diesel,Action Crime Thriller,furious 7,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1
Marc Forster,Peter Capaldi,Brad Pitt,Mireille Enos,Action Adventure Horror Sci-Fi Thriller,world war z,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1
Bryan Singer,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,Action Adventure Fantasy Sci-Fi Thriller,x-men: days of future past,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1
J.J. Abrams,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,Action Adventure Sci-Fi,star trek into darkness,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1
Bryan Singer,Eddie Marsan,Ewen Bremner,Ralph Brown,Adventure Fantasy,jack the giant slayer,http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1
Baz Luhrmann,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,Drama Romance,the great gatsby,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1
Mike Newell,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,Action Adventure Fantasy Romance,prince of persia: the sands of time,http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1
Guillermo del Toro,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,Action Adventure Sci-Fi,pacific rim,http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1
Michael Bay,Glenn Morshower,Lester Speight,Kevin Dunn,Action Adventure Sci-Fi,transformers: dark of the moon,http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1
Steven Spielberg,Harrison Ford,Ray Winstone,Jim Broadbent,Action Adventure Fantasy,indiana jones and the kingdom of the crystal skull,http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1
Peter Sohn,A.J. Buckley,Jack McGraw,Peter Sohn,Adventure Animation Comedy Family Fantasy,the good dinosaur,http://www.imdb.com/title/tt1979388/?ref_=fn_tt_tt_1
Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters,Adventure Animation Comedy Family Fantasy,brave,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1
Justin Lin,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Action Adventure Sci-Fi Thriller,star trek beyond,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1
Andrew Stanton,John Ratzenberger,Fred Willard,Jeff Garlin,Adventure Animation Family Sci-Fi,wall·e,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1
Brett Ratner,Tzi Ma,Dana Ivey,Noémie Lenoir,Action Comedy Crime Thriller,rush hour 3,http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1
Roland Emmerich,Oliver Platt,Liam James,Tom McCarthy,Action Adventure Sci-Fi,2012,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1
Robert Zemeckis,Robin Wright,Colin Firth,Gary Oldman,Animation Drama Family Fantasy,a christmas carol,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1
Lana Wachowski,Channing Tatum,Mila Kunis,Eddie Redmayne,Action Adventure Sci-Fi,jupiter ascending,http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1
David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,Action Adventure Drama Romance,the legend of tarzan,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1
Andrew Adamson,Jim Broadbent,Kiran Shah,Shane Rangi,Adventure Family Fantasy,"the chronicles of narnia: the lion, the witch and the wardrobe",http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1
Bryan Singer,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,Action Adventure Sci-Fi,x-men: apocalypse,http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1
Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman,Action Crime Drama Thriller,the dark knight,http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1
Pete Docter,John Ratzenberger,Delroy Lindo,Jess Harnell,Adventure Animation Comedy Family,up,http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1
Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert,Action Adventure Animation Comedy Family Sci-Fi,monsters vs. aliens,http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1
Jon Favreau,Robert Downey Jr.,Jeff Bridges,Jon Favreau,Action Adventure Sci-Fi,iron man,http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1
Martin Scorsese,Chloë Grace Moretz,Christopher Lee,Ray Winstone,Adventure Drama Family Mystery,hugo,http://www.imdb.com/title/tt0970179/?ref_=fn_tt_tt_1
Barry Sonnenfeld,Will Smith,Salma Hayek,Bai Ling,Action Comedy Sci-Fi Western,wild wild west,http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1
Rob Cohen,Jet Li,Brendan Fraser,Russell Wong,Action Adventure Fantasy Horror Thriller,the mummy: tomb of the dragon emperor,http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1
David Ayer,Will Smith,Robin Atkin Downes,Ike Barinholtz,Action Adventure Comedy Sci-Fi,suicide squad,http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1
Tom Shadyac,Jimmy Bennett,Morgan Freeman,Steve Carell,Comedy Family Fantasy,evan almighty,http://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1
Doug Liman,Tom Cruise,Lara Pulver,Noah Taylor,Action Adventure Sci-Fi,edge of tomorrow,http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1
Kevin Reynolds,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,Action Adventure Sci-Fi Thriller,waterworld,http://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1
Stephen Sommers,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,Action Adventure Sci-Fi Thriller,g.i. joe: the rise of cobra,http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1
Pete Docter,Amy Poehler,Mindy Kaling,Phyllis Smith,Adventure Animation Comedy Drama Family Fantasy,inside out,http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1
Jon Favreau,Scarlett Johansson,Bill Murray,Garry Shandling,Adventure Drama Family Fantasy,the jungle book,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1
Jon Favreau,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,Action Adventure Sci-Fi,iron man 2,http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1
Rupert Sanders,Chris Hemsworth,Kristen Stewart,Sam Claflin,Action Adventure Drama Fantasy,snow white and the huntsman,http://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1
Robert Stromberg,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,Action Adventure Family Fantasy Romance,maleficent,http://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1
Matt Reeves,Gary Oldman,Judy Greer,Kodi Smit-McPhee,Action Adventure Drama Sci-Fi,dawn of the planet of the apes,http://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1
Roland Joffé,Tamsin Egerton,Alice Englert,Bipasha Basu,Action Adventure Romance Sci-Fi,the lovers,http://www.imdb.com/title/tt1321869/?ref_=fn_tt_tt_1
Carl Rinsch,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,Action Adventure Drama Fantasy,47 ronin,http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1
Anthony Russo,Scarlett Johansson,Chris Evans,Hayley Atwell,Action Adventure Sci-Fi,captain america: the winter soldier,http://www.imdb.com/title/tt1843866/?ref_=fn_tt_tt_1
Mike Mitchell,Jon Hamm,Kathy Griffin,Mary Kay Place,Adventure Animation Comedy Family Fantasy,shrek forever after,http://www.imdb.com/title/tt0892791/?ref_=fn_tt_tt_1
Brad Bird,Judy Greer,Chris Bauer,Thomas Robinson,Action Adventure Family Mystery Sci-Fi,tomorrowland,http://www.imdb.com/title/tt1964418/?ref_=fn_tt_tt_1
Don Hall,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,Action Adventure Animation Comedy Drama Family Sci-Fi,big hero 6,http://www.imdb.com/title/tt2245084/?ref_=fn_tt_tt_1
Rich Moore,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,Adventure Animation Comedy Family Sci-Fi,wreck-it ralph,http://www.imdb.com/title/tt1772341/?ref_=fn_tt_tt_1
Robert Zemeckis,Tom Hanks,Eddie Deezen,Peter Scolari,Adventure Animation Family Fantasy,the polar express,http://www.imdb.com/title/tt0338348/?ref_=fn_tt_tt_1
Roland Emmerich,Vivica A. Fox,Sela Ward,Judd Hirsch,Action Adventure Sci-Fi,independence day: resurgence,http://www.imdb.com/title/tt1628841/?ref_=fn_tt_tt_1
Dean DeBlois,Gerard Butler,America Ferrera,Craig Ferguson,Adventure Animation Family Fantasy,how to train your dragon,http://www.imdb.com/title/tt0892769/?ref_=fn_tt_tt_1
Jonathan Mostow,Nick Stahl,M.C. Gainey,Carolyn Hennesy,Action Sci-Fi,terminator 3: rise of the machines,http://www.imdb.com/title/tt0181852/?ref_=fn_tt_tt_1
James Gunn,Bradley Cooper,Vin Diesel,Djimon Hounsou,Action Adventure Sci-Fi,guardians of the galaxy,http://www.imdb.com/title/tt2015381/?ref_=fn_tt_tt_1
Christopher Nolan,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,Adventure Drama Sci-Fi,interstellar,http://www.imdb.com/title/tt0816692/?ref_=fn_tt_tt_1
Christopher Nolan,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,Action Adventure Sci-Fi Thriller,inception,http://www.imdb.com/title/tt1375666/?ref_=fn_tt_tt_1
Hideaki Anno,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,Action Adventure Drama Horror Sci-Fi,godzilla resurgence,http://www.imdb.com/title/tt4262980/?ref_=fn_tt_tt_1
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,the hobbit: an unexpected journey,http://www.imdb.com/title/tt0903624/?ref_=fn_tt_tt_1
Rob Cohen,Paul Walker,Vin Diesel,Jordana Brewster,Action Crime Thriller,the fast and the furious,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1
David Fincher,Brad Pitt,Jason Flemyng,Julia Ormond,Drama Fantasy Romance,the curious case of benjamin button,http://www.imdb.com/title/tt0421715/?ref_=fn_tt_tt_1
Matthew Vaughn,Jennifer Lawrence,Michael Fassbender,Oliver Platt,Action Adventure Sci-Fi,x-men: first class,http://www.imdb.com/title/tt1270798/?ref_=fn_tt_tt_1
Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Adventure Sci-Fi,the hunger games: mockingjay - part 2,http://www.imdb.com/title/tt1951266/?ref_=fn_tt_tt_1
Jon Turteltaub,Nicolas Cage,Omar Benson Miller,Robert Capron,Action Adventure Family Fantasy,the sorcerer's apprentice,http://www.imdb.com/title/tt0963966/?ref_=fn_tt_tt_1
Wolfgang Petersen,Jimmy Bennett,Mike Vogel,Andre Braugher,Action Adventure Drama Thriller,poseidon,http://www.imdb.com/title/tt0409182/?ref_=fn_tt_tt_1
James Bobin,Johnny Depp,Alan Rickman,Anne Hathaway,Adventure Family Fantasy,alice through the looking glass,http://www.imdb.com/title/tt2567026/?ref_=fn_tt_tt_1
Chris Miller,Justin Timberlake,Eric Idle,Rupert Everett,Adventure Animation Comedy Family Fantasy,shrek the third,http://www.imdb.com/title/tt0413267/?ref_=fn_tt_tt_1
Duncan Jones,Dominic Cooper,Callum Rennie,Ruth Negga,Action Adventure Fantasy,warcraft,http://www.imdb.com/title/tt0803096/?ref_=fn_tt_tt_1
Alan Taylor,J.K. Simmons,Emilia Clarke,Matt Smith,Action Adventure Sci-Fi,terminator genisys,http://www.imdb.com/title/tt1340138/?ref_=fn_tt_tt_1
Michael Apted,Bruce Spence,Shane Rangi,Laura Brent,Adventure Family Fantasy,the chronicles of narnia: the voyage of the dawn treader,http://www.imdb.com/title/tt0980970/?ref_=fn_tt_tt_1
Michael Bay,Jennifer Garner,Jaime King,Mako,Action Drama History Romance War,pearl harbor,http://www.imdb.com/title/tt0213149/?ref_=fn_tt_tt_1
Michael Bay,Zack Ward,Michael O'Neill,Kevin Dunn,Action Adventure Sci-Fi,transformers,http://www.imdb.com/title/tt0418279/?ref_=fn_tt_tt_1
Oliver Stone,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,Action Adventure Biography Drama History Romance War,alexander,http://www.imdb.com/title/tt0346491/?ref_=fn_tt_tt_1
David Yates,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,Adventure Family Fantasy Mystery,harry potter and the order of the phoenix,http://www.imdb.com/title/tt0373889/?ref_=fn_tt_tt_1
Mike Newell,Robert Pattinson,Daniel Radcliffe,Rupert Grint,Adventure Family Fantasy Mystery,harry potter and the goblet of fire,http://www.imdb.com/title/tt0330373/?ref_=fn_tt_tt_1
Peter Berg,Will Smith,Charlize Theron,Eddie Marsan,Action Drama,hancock,http://www.imdb.com/title/tt0448157/?ref_=fn_tt_tt_1
Francis Lawrence,Will Smith,Alice Braga,Willow Smith,Drama Horror Sci-Fi,i am legend,http://www.imdb.com/title/tt0480249/?ref_=fn_tt_tt_1
Tim Burton,Johnny Depp,Christopher Lee,David Kelly,Adventure Comedy Family Fantasy,charlie and the chocolate factory,http://www.imdb.com/title/tt0367594/?ref_=fn_tt_tt_1
Brad Bird,Janeane Garofalo,John Ratzenberger,Brian Dennehy,Animation Comedy Family Fantasy,ratatouille,http://www.imdb.com/title/tt0382932/?ref_=fn_tt_tt_1
Christopher Nolan,Christian Bale,Liam Neeson,Morgan Freeman,Action Adventure,batman begins,http://www.imdb.com/title/tt0372784/?ref_=fn_tt_tt_1
Eric Darnell,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,Action Adventure Animation Comedy Family,madagascar: escape 2 africa,http://www.imdb.com/title/tt0479952/?ref_=fn_tt_tt_1
Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,Adventure Comedy Family Fantasy,night at the museum: battle of the smithsonian,http://www.imdb.com/title/tt1078912/?ref_=fn_tt_tt_1
Gavin Hood,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,Action Adventure Fantasy Sci-Fi Thriller,x-men origins: wolverine,http://www.imdb.com/title/tt0458525/?ref_=fn_tt_tt_1
Lana Wachowski,Essie Davis,Collin Chou,Nona Gaye,Action Sci-Fi,the matrix revolutions,http://www.imdb.com/title/tt0242653/?ref_=fn_tt_tt_1
Chris Buck,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,Adventure Animation Comedy Family Fantasy Musical,frozen,http://www.imdb.com/title/tt2294629/?ref_=fn_tt_tt_1
Lana Wachowski,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,Action Sci-Fi,the matrix reloaded,http://www.imdb.com/title/tt0234215/?ref_=fn_tt_tt_1
Alan Taylor,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Action Adventure Fantasy,thor: the dark world,http://www.imdb.com/title/tt1981115/?ref_=fn_tt_tt_1
George Miller,Tom Hardy,Charlize Theron,Zoë Kravitz,Action Adventure Sci-Fi Thriller,mad max: fury road,http://www.imdb.com/title/tt1392190/?ref_=fn_tt_tt_1
Ron Howard,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,Mystery Thriller,angels & demons,http://www.imdb.com/title/tt0808151/?ref_=fn_tt_tt_1
Kenneth Branagh,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Action Adventure Fantasy,thor,http://www.imdb.com/title/tt0800369/?ref_=fn_tt_tt_1
Byron Howard,Chloë Grace Moretz,Diedrich Bader,James Lipton,Adventure Animation Comedy Drama Family,bolt,http://www.imdb.com/title/tt0397892/?ref_=fn_tt_tt_1
Hoyt Yeatman,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,Action Adventure Animation Comedy Family Fantasy Sci-Fi,g-force,http://www.imdb.com/title/tt0436339/?ref_=fn_tt_tt_1
Jonathan Liebesman,Liam Neeson,Edgar Ramírez,Lily James,Action Adventure Fantasy,wrath of the titans,http://www.imdb.com/title/tt1646987/?ref_=fn_tt_tt_1
Tim Burton,Johnny Depp,Chloë Grace Moretz,Christopher Lee,Comedy Fantasy Horror,dark shadows,http://www.imdb.com/title/tt1077368/?ref_=fn_tt_tt_1
Christopher McQuarrie,Tom Cruise,Jeremy Renner,Sean Harris,Action Adventure Thriller,mission: impossible - rogue nation,http://www.imdb.com/title/tt2381249/?ref_=fn_tt_tt_1
Joe Johnston,Anthony Hopkins,Simon Merrells,Art Malik,Drama Fantasy Horror Thriller,the wolfman,http://www.imdb.com/title/tt0780653/?ref_=fn_tt_tt_1
David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,Action Adventure Drama Romance,the legend of tarzan,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1
Steve Hickner,Matthew Broderick,Oprah Winfrey,Rip Torn,Adventure Animation Comedy Family,bee movie,http://www.imdb.com/title/tt0389790/?ref_=fn_tt_tt_1
Jennifer Yuh Nelson,Angelina Jolie Pitt,Gary Oldman,Mike Bell,Action Adventure Animation Comedy Family,kung fu panda 2,http://www.imdb.com/title/tt1302011/?ref_=fn_tt_tt_1
M. Night Shyamalan,Seychelle Gabriel,Noah Ringer,Aasif Mandvi,Action Adventure Family Fantasy,the last airbender,http://www.imdb.com/title/tt0938283/?ref_=fn_tt_tt_1
J.J. Abrams,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan,Action Adventure Thriller,mission: impossible iii,http://www.imdb.com/title/tt0317919/?ref_=fn_tt_tt_1
Roland Emmerich,Channing Tatum,Jake Weber,Matt Craven,Action Drama Thriller,white house down,http://www.imdb.com/title/tt2334879/?ref_=fn_tt_tt_1
Simon Wells,Elisabeth Harnois,Dan Fogler,Tom Everett Scott,Action Adventure Animation Comedy Family Sci-Fi,mars needs moms,http://www.imdb.com/title/tt1305591/?ref_=fn_tt_tt_1
David Bowers,Hugh Jackman,Kate Winslet,David Suchet,Adventure Animation Comedy Family,flushed away,http://www.imdb.com/title/tt0424095/?ref_=fn_tt_tt_1
Joe Wright,Hugh Jackman,Cara Delevingne,Nonso Anozie,Adventure Family Fantasy,pan,http://www.imdb.com/title/tt3332064/?ref_=fn_tt_tt_1
Rob Minkoff,Ty Burrell,Zach Callison,Karan Brar,Adventure Animation Comedy Family Sci-Fi,mr. peabody & sherman,http://www.imdb.com/title/tt0864835/?ref_=fn_tt_tt_1
Wolfgang Petersen,Brad Pitt,Orlando Bloom,Julian Glover,Adventure,troy,http://www.imdb.com/title/tt0332452/?ref_=fn_tt_tt_1
Eric Darnell,Jada Pinkett Smith,Martin Short,Cedric the Entertainer,Adventure Animation Comedy Family,madagascar 3: europe's most wanted,http://www.imdb.com/title/tt1277953/?ref_=fn_tt_tt_1
Lee Tamahori,Toby Stephens,Colin Salmon,Rick Yune,Action Adventure Thriller,die another day,http://www.imdb.com/title/tt0246460/?ref_=fn_tt_tt_1
Paul Feig,Ed Begley Jr.,Kate McKinnon,Zach Woods,Action Comedy Fantasy Sci-Fi,ghostbusters,http://www.imdb.com/title/tt1289401/?ref_=fn_tt_tt_1
Michael Bay,Bruce Willis,Steve Buscemi,Will Patton,Action Adventure Sci-Fi Thriller,armageddon,http://www.imdb.com/title/tt0120591/?ref_=fn_tt_tt_1
